hs6,io185_name,io52_idx,io52_name
902290,Instruments,23,MetalProd
902300,MedicalDvces,27,OtherMan
902410,Instruments,23,MetalProd
902480,Instruments,23,MetalProd
902490,Instruments,23,MetalProd
902511,Instruments,23,MetalProd
902519,Instruments,23,MetalProd
902580,Instruments,23,MetalProd
902590,Instruments,23,MetalProd
902610,Instruments,23,MetalProd
902620,Instruments,23,MetalProd
902680,Instruments,23,MetalProd
902690,Instruments,23,MetalProd
902710,Instruments,23,MetalProd
902720,Instruments,23,MetalProd
902730,Instruments,23,MetalProd
902750,Instruments,23,MetalProd
902780,Instruments,23,MetalProd
902790,Instruments,23,MetalProd
902810,Instruments,23,MetalProd
902820,Instruments,23,MetalProd
902830,Instruments,23,MetalProd
902890,Instruments,23,MetalProd
902910,Instruments,23,MetalProd
902920,Instruments,23,MetalProd
902990,Instruments,23,MetalProd
903010,Instruments,23,MetalProd
903020,Instruments,23,MetalProd
903031,Instruments,23,MetalProd
903032,Instruments,23,MetalProd
903033,Instruments,23,MetalProd
903039,Instruments,23,MetalProd
903040,Instruments,23,MetalProd
903082,Instruments,23,MetalProd
903084,Instruments,23,MetalProd
903089,Instruments,23,MetalProd
903090,Instruments,23,MetalProd
903110,Instruments,23,MetalProd
903120,Instruments,23,MetalProd
903141,Instruments,23,MetalProd
903149,Instruments,23,MetalProd
903180,Instruments,23,MetalProd
903190,Instruments,23,MetalProd
903210,Instruments,23,MetalProd
903220,Instruments,23,MetalProd
903281,Instruments,23,MetalProd
903289,Instruments,23,MetalProd
903290,Instruments,23,MetalProd
903300,Instruments,23,MetalProd
910119,Instruments,23,MetalProd
910121,Instruments,23,MetalProd
910129,Instruments,23,MetalProd
910199,Instruments,23,MetalProd
910211,Instruments,23,MetalProd
910212,Instruments,23,MetalProd
910219,Instruments,23,MetalProd
910229,Instruments,23,MetalProd
910291,Instruments,23,MetalProd
910299,Instruments,23,MetalProd
910390,Instruments,23,MetalProd
910400,Instruments,23,MetalProd
910511,Instruments,23,MetalProd
910519,Instruments,23,MetalProd
910521,Instruments,23,MetalProd
910529,Instruments,23,MetalProd
910591,Instruments,23,MetalProd
910599,Instruments,23,MetalProd
910610,Instruments,23,MetalProd
910690,Instruments,23,MetalProd
910700,Instruments,23,MetalProd
910811,Instruments,23,MetalProd
911011,Instruments,23,MetalProd
911090,Instruments,23,MetalProd
911190,Instruments,23,MetalProd
911290,Instruments,23,MetalProd
911310,Instruments,23,MetalProd
911390,LeatherPrd,15,Leather
911410,Instruments,23,MetalProd
911430,Instruments,23,MetalProd
911490,Instruments,23,MetalProd
920110,MusicInstrum,27,OtherMan
920120,MusicInstrum,27,OtherMan
920190,MusicInstrum,27,OtherMan
920210,MusicInstrum,27,OtherMan
920290,MusicInstrum,27,OtherMan
920510,MusicInstrum,27,OtherMan
920590,MusicInstrum,27,OtherMan
920600,MusicInstrum,27,OtherMan
920710,MusicInstrum,27,OtherMan
920790,MusicInstrum,27,OtherMan
920810,MusicInstrum,27,OtherMan
920890,MusicInstrum,27,OtherMan
920930,MusicInstrum,27,OtherMan
920991,MusicInstrum,27,OtherMan
920992,MusicInstrum,27,OtherMan
920994,MusicInstrum,27,OtherMan
920999,MusicInstrum,27,OtherMan
930110,WeaponsAmmo,23,MetalProd
930200,WeaponsAmmo,23,MetalProd
930510,WeaponsAmmo,23,MetalProd
930621,WeaponsAmmo,23,MetalProd
930700,OthMetalPrd,23,MetalProd
940110,MotorVehicle,25,TranspEquip
940120,MotorVehicle,25,TranspEquip
940130,MotorVehicle,25,TranspEquip
940140,OthTextilPrd,14,Textiles
940152,MotorVehicle,25,TranspEquip
940153,MotorVehicle,25,TranspEquip
940159,Furniture,26,Furniture
940161,Furniture,26,Furniture
940169,Furniture,26,Furniture
940171,MotorVehicle,25,TranspEquip
940179,MotorVehicle,25,TranspEquip
940180,Furniture,26,Furniture
940190,Furniture,26,Furniture
940210,MedicalDvces,27,OtherMan
940290,MedicalDvces,27,OtherMan
940310,Furniture,26,Furniture
940320,Furniture,26,Furniture
940330,Furniture,26,Furniture
940340,Furniture,26,Furniture
940350,Furniture,26,Furniture
940360,Furniture,26,Furniture
940370,Furniture,26,Furniture
940382,Furniture,26,Furniture
940383,Furniture,26,Furniture
940389,Furniture,26,Furniture
940390,Furniture,26,Furniture
940410,OthTextilPrd,14,Textiles
940421,OthTextilPrd,14,Textiles
940429,OthTextilPrd,14,Textiles
940430,OthTextilPrd,14,Textiles
940490,OthTextilPrd,14,Textiles
940510,OthElecEqp,23,MetalProd
940520,OthElecEqp,23,MetalProd
940530,OthElecEqp,23,MetalProd
940540,OthElecEqp,23,MetalProd
940550,OthElecEqp,23,MetalProd
940560,OthElecEqp,23,MetalProd
940591,Glass,18,NonMetalProd
940592,PlasticPrd,21,Rubber
940599,OthElecEqp,23,MetalProd
940610,PlasticPrd,21,Rubber
940690,PlasticPrd,21,Rubber
950300,GamesAndToys,27,OtherMan
950420,GamesAndToys,27,OtherMan
950430,GamesAndToys,27,OtherMan
950440,PlasticPrd,21,Rubber
950450,ElectroncPrd,23,MetalProd
950490,GamesAndToys,27,OtherMan
950510,OthIndustPrd,27,OtherMan
950590,OthIndustPrd,27,OtherMan
950611,SportsEquip,27,OtherMan
950619,SportsEquip,27,OtherMan
950621,SportsEquip,27,OtherMan
950629,SportsEquip,27,OtherMan
950631,SportsEquip,27,OtherMan
950632,SportsEquip,27,OtherMan
950639,SportsEquip,27,OtherMan
950640,SportsEquip,27,OtherMan
950651,SportsEquip,27,OtherMan
950659,SportsEquip,27,OtherMan
950661,SportsEquip,27,OtherMan
950662,SportsEquip,27,OtherMan
950669,SportsEquip,27,OtherMan
950670,SportsEquip,27,OtherMan
950691,SportsEquip,27,OtherMan
950699,SportsEquip,27,OtherMan
950710,SportsEquip,27,OtherMan
950720,SportsEquip,27,OtherMan
950730,SportsEquip,27,OtherMan
950790,SportsEquip,27,OtherMan
