country,year,ngdp_rpch
ATG,1989,5.3
ATG,1990,3.0
ATG,1991,2.2
ATG,1992,1.2
ATG,1993,5.3
ATG,1994,6.7
ATG,1995,-4.4
ATG,1996,6.6
ATG,1997,5.5
ATG,1998,4.7
ATG,1999,3.7
ATG,2000,6.2
ATG,2001,-4.5
ATG,2002,1.0
ATG,2003,6.1
ATG,2004,5.8
ATG,2005,6.5
ATG,2006,12.7
ATG,2007,9.3
ATG,2008,0.0
ATG,2009,-12.0
ATG,2010,-7.8
ATG,2011,-2.0
ATG,2012,3.4
ATG,2013,-0.6
ATG,2014,2.2
ATG,2015,1.4
ATG,2016,4.1
ATG,2017,2.7
ATG,2018,6.7
ATG,2019,3.2
ATG,2020,-18.9
ATG,2021,8.2
ATG,2022,8.5
ATG,2023,3.9
ATG,2024,2.5
ATG,2025,3.0
ATG,2026,2.6
ATG,2027,2.4
ATG,2028,2.5
ATG,2029,2.5
ATG,2030,2.5
ATG,2031,2.5
AUS,1980,2.9
AUS,1981,4.1
AUS,1982,0.1
AUS,1983,-0.5
AUS,1984,6.3
AUS,1985,5.5
AUS,1986,2.4
AUS,1987,4.9
AUS,1988,4.3
AUS,1989,4.6
AUS,1990,1.5
AUS,1991,-1.0
AUS,1992,2.6
AUS,1993,3.9
AUS,1994,4.9
AUS,1995,3.0
AUS,1996,4.0
AUS,1997,4.7
AUS,1998,4.7
AUS,1999,4.4
AUS,2000,3.1
AUS,2001,2.6
AUS,2002,4.1
AUS,2003,3.0
AUS,2004,4.1
AUS,2005,3.0
AUS,2006,2.6
AUS,2007,4.4
AUS,2008,2.7
AUS,2009,2.0
AUS,2010,2.4
AUS,2011,2.8
AUS,2012,3.9
AUS,2013,2.2
AUS,2014,2.6
AUS,2015,2.3
AUS,2016,2.7
AUS,2017,2.4
AUS,2018,2.8
AUS,2019,2.0
AUS,2020,-2.0
AUS,2021,5.4
AUS,2022,4.2
AUS,2023,2.1
AUS,2024,1.0
AUS,2025,2.0
AUS,2026,2.0
AUS,2027,1.7
AUS,2028,1.9
AUS,2029,2.1
AUS,2030,2.3
AUS,2031,2.3
