sector_52,sector_name,country_iso,country_name,export_usd,sector_total,w_kc
3,Estates,SDN,Sudan,789158.49,1893945408.763,0.0004166743594343
3,Estates,SEN,Senegal,286535.05,1893945408.763,0.000151290025929
3,Estates,SGP,Singapore,50133778.646,1893945408.763,0.0264705510592008
3,Estates,SOM,Somalia,8400.0,1893945408.763,4.435185914617426e-06
3,Estates,SRB,Serbia,4000.0,1893945408.763,2.1119932926749646e-06
3,Estates,SUR,Suriname,19160.0,1893945408.763,1.011644787191308e-05
3,Estates,SVK,Slovakia,161317.07,1893945408.763,8.517514245849443e-05
3,Estates,SVN,Slovenia,649382.76,1893945408.763,0.0003428730083746
3,Estates,SWE,Sweden,246219.2,1893945408.763,0.0001300033247319
3,Estates,SWZ,Eswatini,4732.2,1893945408.763,2.498593664899117e-06
3,Estates,SYR,Syria,1338998.42,1893945408.763,0.0007069889204855
3,Estates,TGO,Togo,162859.0,1893945408.763,8.598927891293801e-05
3,Estates,THA,Thailand,56985607.082,1893945408.763,0.0300883049840487
3,Estates,TLS,Timor-Leste,559817.351,1893945408.763,0.0002955826226087
3,Estates,TTO,Trinidad and Tobago,23360.0,1893945408.763,1.2334040829221793e-05
3,Estates,TUN,Tunisia,1283844.695,1893945408.763,0.000677867846169
3,Estates,TUR,Türkiye,9085325.193,1893945408.763,0.0047970364673467
3,Estates,UGA,Uganda,18785.0,1893945408.763,9.918448500724802e-06
3,Estates,UKR,Ukraine,847020.55,1893945408.763,0.0004472254300894
3,Estates,URY,Uruguay,1705110.25,1893945408.763,0.0009002953528178
3,Estates,USA,USA,275013403.566,1893945408.763,0.1452066159317762
3,Estates,UZB,Uzbekistan,103245.0,1893945408.763,5.451318687555668e-05
3,Estates,VEN,Venezuela,264073.0,1893945408.763,0.0001394301011941
3,Estates,VNM,Viet Nam,93490166.216,1893945408.763,0.0493626509948149
3,Estates,WSM,Samoa,12.8,1893945408.763,6.7583785365598874e-09
3,Estates,YEM,Yemen,242894.23,1893945408.763,0.0001282477461473
3,Estates,ZAF,South Africa,2180495.87,1893945408.763,0.0011512981630363
4,Livestock,ARE,United Arab Emirates,71161.82,42140263.111,0.0016886895037308
4,Livestock,ARG,Argentina,1774.08,42140263.111,4.209940491655132e-05
4,Livestock,ARM,Armenia,584.5400000000001,42140263.111,1.3871294501894456e-05
4,Livestock,AUS,Australia,422.586,42140263.111,1.0028081668282017e-05
4,Livestock,AUT,Austria,273.856,42140263.111,6.498677981166058e-06
4,Livestock,AZE,Azerbaijan,134.7,42140263.111,3.196467939585285e-06
4,Livestock,BEL,Belgium,12338.61,42140263.111,0.0002927985989906
4,Livestock,BGD,Bangladesh,6913.6,42140263.111,0.0001640616239578
4,Livestock,BGR,Bulgaria,4288.8,42140263.111,0.0001017744001432
4,Livestock,BHR,Bahrain,694.05,42140263.111,1.646999683347563e-05
4,Livestock,BRA,Brazil,574.0,42140263.111,1.362117741144732e-05
4,Livestock,BRN,Brunei Darussalam,1272442.594,42140263.111,0.0301954117051502
4,Livestock,CAN,Canada,247378.667,42140263.111,0.0058703636080389
4,Livestock,CHE,Switzerland,28320.311,42140263.111,0.0006720487464779
4,Livestock,CHN,China,91253.821,42140263.111,0.0021654781974102
4,Livestock,COD,Dem. Rep. of the Congo,1896.15,42140263.111,4.499615949253631e-05
4,Livestock,CYP,Cyprus,1490.465,42140263.111,3.536914318911643e-05
4,Livestock,CZE,Czechia,239077.49,42140263.111,0.0056733744013476
