sector_52,country_iso,country_name,export_usd,sector_total,w_kc
3,NRU,Nauru,20323.0,28451802106.184,7.142957034550299e-07
3,NZL,New Zealand,7871867.074,28451802106.184,0.00027667376022867283
3,OMN,Oman,165975234.67,28451802106.184,0.005833557890307597
3,PAK,Pakistan,2199752995.75,28451802106.184,0.07731506733880607
3,PAN,Panama,3022717.25,28451802106.184,0.00010623992247376881
3,PER,Peru,11163647.17,28451802106.184,0.00039237047721394004
3,PHL,Philippines,459476155.64,28451802106.184,0.016149281297726054
3,PLW,Palau,46323.5,28451802106.184,1.6281393996456763e-06
3,PNG,Papua New Guinea,8350580.231,28451802106.184,0.0002934991674634557
3,POL,Poland,12423080.62,28451802106.184,0.000436635984379346
3,PRT,Portugal,806895.3,28451802106.184,2.836007705201286e-05
3,PRY,Paraguay,42228.93,28451802106.184,1.4842268986125677e-06
3,PYF,French Polynesia,62624.0,28451802106.184,2.2010556577851593e-06
3,QAT,Qatar,1015417.12,28451802106.184,3.568902652318459e-05
3,ROU,Romania,17916903.37,28451802106.184,0.0006297282436849848
3,RUS,Russian Federation,585893303.239,28451802106.184,0.020592484829340778
3,RWA,Rwanda,219949.64,28451802106.184,7.73060487272945e-06
3,S19,"Other Asia, nes",15658400.607,28451802106.184,0.0005503482889611638
3,SAU,Saudi Arabia,351693396.24,28451802106.184,0.01236102356284699
3,SDN,Sudan,38605306.042,28451802106.184,0.0013568668127917683
3,SEN,Senegal,162105121.457,28451802106.184,0.00569753440755749
3,SGP,Singapore,117168505.603,28451802106.184,0.0041181400448983664
3,SLB,Solomon Isds,3309436.34,28451802106.184,0.00011631728379274415
3,SLE,Sierra Leone,2494730.43,28451802106.184,8.768268599259555e-05
3,SLV,El Salvador,42665.0,28451802106.184,1.4995535200466884e-06
3,SOM,Somalia,32766076.748,28451802106.184,0.0011516344949158174
3,SRB,Serbia,3497371.83,28451802106.184,0.00012292268225919673
3,STP,Sao Tome and Principe,843899.49,28451802106.184,2.9660669185400334e-05
3,SVN,Slovenia,886181.086,28451802106.184,3.114674714426572e-05
3,SWE,Sweden,49121556.25,28451802106.184,0.001726483126329753
3,SYC,Seychelles,189479.47,28451802106.184,6.659664976329097e-06
3,SYR,Syria,7096564.28,28451802106.184,0.00024942406999441217
3,TCD,Chad,89812.0,28451802106.184,3.1566366047681515e-06
3,TGO,Togo,130593897.18,28451802106.184,0.004590004411411797
3,THA,Thailand,75614901.983,28451802106.184,0.0026576489496447434
3,TJK,Tajikistan,439667.0,28451802106.184,1.545304576346812e-05
3,TKM,Turkmenistan,1212134.23,28451802106.184,4.260307398020819e-05
3,TLS,Timor-Leste,18794836.394,28451802106.184,0.0006605850948863076
3,TON,Tonga,655019.37,28451802106.184,2.3022069658555356e-05
3,TTO,Trinidad and Tobago,3516998.8,28451802106.184,0.00012361251448587786
3,TUN,Tunisia,55354578.34,28451802106.184,0.0019455561420472795
3,TUR,Türkiye,255408432.248,28451802106.184,0.008976880666286055
3,TUV,Tuvalu,38412.0,28451802106.184,1.3500726546826064e-06
3,TZA,United Rep. of Tanzania,195358921.88,28451802106.184,0.006866311003812962
3,UGA,Uganda,1087621.16,28451802106.184,3.822679336587982e-05
