id,id_label,sector_52,emp
1800,LAMPUNG,30,12685
1800,LAMPUNG,31,239709
1800,LAMPUNG,32,3971
1800,LAMPUNG,33,939645
1800,LAMPUNG,34,655
1800,LAMPUNG,35,136038
1800,LAMPUNG,37,3549
1800,LAMPUNG,39,56273
1800,LAMPUNG,40,6173
1800,LAMPUNG,41,248125
1800,LAMPUNG,42,16233
1800,LAMPUNG,43,20765
1800,LAMPUNG,44,2723
1800,LAMPUNG,46,14804
1800,LAMPUNG,47,5457
1800,LAMPUNG,48,54992
1800,LAMPUNG,49,135591
1800,LAMPUNG,50,206299
1800,LAMPUNG,51,57603
1800,LAMPUNG,52,524
1900,KEPULAUAN BANGKA BELITUNG,1,18439
1900,KEPULAUAN BANGKA BELITUNG,2,48898
1900,KEPULAUAN BANGKA BELITUNG,3,87811
1900,KEPULAUAN BANGKA BELITUNG,4,3417
1900,KEPULAUAN BANGKA BELITUNG,5,9908
1900,KEPULAUAN BANGKA BELITUNG,6,2978
1900,KEPULAUAN BANGKA BELITUNG,7,27126
1900,KEPULAUAN BANGKA BELITUNG,10,117658
1900,KEPULAUAN BANGKA BELITUNG,11,83
1900,KEPULAUAN BANGKA BELITUNG,12,43721
1900,KEPULAUAN BANGKA BELITUNG,14,4302
1900,KEPULAUAN BANGKA BELITUNG,16,1723
1900,KEPULAUAN BANGKA BELITUNG,17,1439
1900,KEPULAUAN BANGKA BELITUNG,20,346
1900,KEPULAUAN BANGKA BELITUNG,18,1660
1900,KEPULAUAN BANGKA BELITUNG,22,3670
1900,KEPULAUAN BANGKA BELITUNG,23,1251
1900,KEPULAUAN BANGKA BELITUNG,24,963
1900,KEPULAUAN BANGKA BELITUNG,25,921
1900,KEPULAUAN BANGKA BELITUNG,26,784
1900,KEPULAUAN BANGKA BELITUNG,27,2823
1900,KEPULAUAN BANGKA BELITUNG,28,2402
1900,KEPULAUAN BANGKA BELITUNG,29,569
1900,KEPULAUAN BANGKA BELITUNG,30,1514
1900,KEPULAUAN BANGKA BELITUNG,31,33725
1900,KEPULAUAN BANGKA BELITUNG,32,1923
1900,KEPULAUAN BANGKA BELITUNG,33,137929
1900,KEPULAUAN BANGKA BELITUNG,35,6398
1900,KEPULAUAN BANGKA BELITUNG,36,594
1900,KEPULAUAN BANGKA BELITUNG,37,314
1900,KEPULAUAN BANGKA BELITUNG,39,6817
1900,KEPULAUAN BANGKA BELITUNG,40,4242
1900,KEPULAUAN BANGKA BELITUNG,41,48405
1900,KEPULAUAN BANGKA BELITUNG,42,3121
1900,KEPULAUAN BANGKA BELITUNG,43,5623
1900,KEPULAUAN BANGKA BELITUNG,44,310
1900,KEPULAUAN BANGKA BELITUNG,46,1660
1900,KEPULAUAN BANGKA BELITUNG,47,1335
1900,KEPULAUAN BANGKA BELITUNG,48,13985
1900,KEPULAUAN BANGKA BELITUNG,49,42723
1900,KEPULAUAN BANGKA BELITUNG,50,35322
1900,KEPULAUAN BANGKA BELITUNG,51,13820
1900,KEPULAUAN BANGKA BELITUNG,52,262
2100,KEPULAUAN RIAU,1,9627
2100,KEPULAUAN RIAU,2,14483
2100,KEPULAUAN RIAU,3,5668
2100,KEPULAUAN RIAU,4,2690
2100,KEPULAUAN RIAU,5,24997
2100,KEPULAUAN RIAU,6,2101
2100,KEPULAUAN RIAU,7,38050
2100,KEPULAUAN RIAU,8,65
2100,KEPULAUAN RIAU,9,6460
2100,KEPULAUAN RIAU,10,6103
2100,KEPULAUAN RIAU,11,1011
2100,KEPULAUAN RIAU,12,43944
2100,KEPULAUAN RIAU,13,1209
2100,KEPULAUAN RIAU,14,17451
2100,KEPULAUAN RIAU,15,1212
2100,KEPULAUAN RIAU,16,460
2100,KEPULAUAN RIAU,17,8587
2100,KEPULAUAN RIAU,18,6069
